arrest_id_univ,person_id,filing_date_univ,age_at_arrest,sex,race,arrest_id_event,filing_date_event,charge_degree,offense_category,y,current_charge_felony,num_fel_arrests_last_year
4609251,4741,2017-12-21,33.49589041095891,M,White,6277311,2017-01-04,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,5521968,2017-07-11,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,1427079,2019-06-19,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,4872062,2017-11-05,felony,property,1,1,1
4609251,4741,2017-12-21,33.49589041095891,M,White,4998760,2017-10-17,misdemeanor,violent,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,4236056,2018-03-05,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,7038282,2019-04-26,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,949667,2019-09-19,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,5005948,2017-10-16,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,5464875,2017-07-24,misdemeanor,other,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,2938781,2018-09-30,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,97653,2020-03-12,misdemeanor,other,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,1412543,2019-06-22,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,4609251,2017-12-21,misdemeanor,other,1,0,1
2500555,4931,2018-12-21,18.38082191780822,M,Black,2021500,2019-03-21,misdemeanor,other,0,0,0
2500555,4931,2018-12-21,18.38082191780822,M,Black,2711002,2018-11-12,misdemeanor,other,0,0,0
2500555,4931,2018-12-21,18.38082191780822,M,Black,2500555,2018-12-21,misdemeanor,property,0,0,0
6982985,4981,2016-06-05,37.38082191780822,M,White,9369771,2014-06-05,misdemeanor,other,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,9611958,2014-03-22,misdemeanor,other,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,1366908,2019-07-01,felony,property,0,1,1
6982985,4981,2016-06-05,37.38082191780822,M,White,5114865,2017-09-26,misdemeanor,property,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,3111333,2018-08-29,misdemeanor,property,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,7308940,2016-03-25,felony,property,0,1,1
6982985,4981,2016-06-05,37.38082191780822,M,White,1485437,2019-06-08,felony,property,0,1,1
6982985,4981,2016-06-05,37.38082191780822,M,White,8302464,2015-05-30,misdemeanor,property,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,7245182,2016-04-12,misdemeanor,violent,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,8256922,2015-06-13,misdemeanor,violent,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,7186707,2016-04-28,misdemeanor,other,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,6979573,2016-06-06,misdemeanor,other,0,0,1
6982985,4981,2016-06-05,37.38082191780822,M,White,6982985,2016-06-05,misdemeanor,other,0,0,1
4292218,5400,2018-02-22,27.21917808219178,M,Black,7789730,2015-11-04,misdemeanor,violent,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,2739279,2018-11-05,felony,property,1,1,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,8850980,2014-11-26,misdemeanor,violent,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,4558833,2018-01-03,misdemeanor,violent,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,4292218,2018-02-22,misdemeanor,violent,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,8057770,2015-08-14,misdemeanor,violent,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,3061999,2018-09-06,felony,property,1,1,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,1713209,2020-05-18,misdemeanor,violent,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,9926208,2013-12-07,misdemeanor,drug,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,4031696,2020-07-22,misdemeanor,property,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,10389988,2020-12-22,felony,violent,1,1,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,7612631,2015-12-29,misdemeanor,other,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,78098,2020-03-18,misdemeanor,other,1,0,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,1338479,2019-07-08,felony,drug,1,1,0
4292218,5400,2018-02-22,27.21917808219178,M,Black,1439676,2019-06-17,misdemeanor,drug,1,0,0
3668551,5684,2018-06-01,45.38356164383562,M,White,3266221,2018-07-27,misdemeanor,other,0,0,0
3668551,5684,2018-06-01,45.38356164383562,M,White,2464938,2018-12-31,misdemeanor,other,0,0,0
3668551,5684,2018-06-01,45.38356164383562,M,White,3668551,2018-06-01,misdemeanor,property,0,0,0
3668551,5684,2018-06-01,45.38356164383562,M,White,3588676,2018-06-16,misdemeanor,other,0,0,0
5913001,6614,2017-04-09,25.3972602739726,M,White,8201490,2015-07-02,felony,violent,0,1,0
5913001,6614,2017-04-09,25.3972602739726,M,White,7997259,2015-09-02,misdemeanor,property,0,0,0
5913001,6614,2017-04-09,25.3972602739726,M,White,5451246,2017-07-26,misdemeanor,other,0,0,0
5913001,6614,2017-04-09,25.3972602739726,M,White,5647828,2017-06-13,misdemeanor,property,0,0,0
5913001,6614,2017-04-09,25.3972602739726,M,White,9507855,2014-04-26,misdemeanor,other,0,0,0
5913001,6614,2017-04-09,25.3972602739726,M,White,8204319,2015-07-01,misdemeanor,property,0,0,0
5913001,6614,2017-04-09,25.3972602739726,M,White,8232746,2015-06-22,misdemeanor,property,0,0,0
5913001,6614,2017-04-09,25.3972602739726,M,White,5913001,2017-04-09,felony,property,0,1,0
4635194,6851,2017-12-16,26.76986301369863,M,White,1986923,2019-03-28,felony,violent,0,1,0
4635194,6851,2017-12-16,26.76986301369863,M,White,7903037,2015-10-01,misdemeanor,property,0,0,0
4635194,6851,2017-12-16,26.76986301369863,M,White,7174821,2016-05-01,misdemeanor,property,0,0,0
4635194,6851,2017-12-16,26.76986301369863,M,White,2114628,2019-03-07,felony,violent,0,1,0
4635194,6851,2017-12-16,26.76986301369863,M,White,4635194,2017-12-16,misdemeanor,property,0,0,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,11031715,2012-11-15,misdemeanor,violent,0,0,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,6456450,2016-11-08,misdemeanor,drug,0,0,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,11116181,2012-10-15,misdemeanor,violent,0,0,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,10850132,2013-01-23,misdemeanor,drug,0,0,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,7940960,2015-09-18,felony,other,0,1,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,6756836,2016-08-11,felony,drug,0,1,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,2827385,2018-10-21,misdemeanor,violent,0,0,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,7868387,2015-10-13,felony,other,0,1,0
2827385,7833,2018-10-21,40.71232876712329,F,Black,6674834,2016-09-02,felony,drug,0,1,0
4652942,8089,2017-12-12,22.35890410958904,M,Black,9699722,2014-02-20,misdemeanor,other,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,8733080,2015-01-13,misdemeanor,property,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,6062280,2017-02-28,felony,drug,0,1,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,10173879,2013-09-14,misdemeanor,other,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,6985550,2016-06-03,misdemeanor,drug,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,10017985,2013-11-10,misdemeanor,other,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,8963953,2014-10-18,misdemeanor,property,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,8008834,2015-08-30,misdemeanor,other,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,6340797,2016-12-13,felony,drug,0,1,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,7263271,2016-04-07,felony,drug,0,1,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,1778263,2020-06-09,misdemeanor,violent,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,7928983,2015-09-23,felony,drug,0,1,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,7169772,2016-05-02,felony,drug,0,1,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,4321189,2018-02-16,misdemeanor,drug,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,4797908,2017-11-18,misdemeanor,drug,0,0,2
4652942,8089,2017-12-12,22.35890410958904,M,Black,4652942,2017-12-12,misdemeanor,drug,0,0,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,9800601,2014-01-14,felony,drug,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,5435803,2017-07-29,misdemeanor,drug,1,0,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,9900139,2013-12-14,felony,drug,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,9671752,2014-03-02,misdemeanor,property,1,0,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,6433082,2016-11-15,felony,drug,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,8211692,2015-06-29,felony,violent,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,7219781,2016-04-18,felony,violent,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,8430126,2015-04-17,misdemeanor,violent,1,0,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,5749970,2017-05-20,misdemeanor,violent,1,0,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,8288340,2015-06-04,felony,violent,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,7307141,2016-03-26,felony,violent,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,6347334,2016-12-12,felony,drug,1,1,2
7307141,8778,2016-03-26,34.32876712328767,M,Black,5601446,2017-06-22,felony,drug,1,1,2
5059344,8819,2017-10-05,42.56438356164384,M,Black,5053407,2017-10-06,felony,other,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,597060,2019-12-02,felony,violent,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,4910224,2017-10-30,felony,violent,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,11078220,2012-10-27,misdemeanor,violent,1,0,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,1365756,2019-07-01,felony,violent,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,10538559,2013-05-13,felony,violent,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,10623945,2013-04-12,felony,violent,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,5059344,2017-10-05,felony,violent,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,4910223,2017-10-30,felony,other,1,1,0
5059344,8819,2017-10-05,42.56438356164384,M,Black,10236092,2013-08-23,misdemeanor,other,1,0,0
6494293,8933,2016-10-26,50.36164383561644,M,Black,6494293,2016-10-26,felony,drug,1,1,0
6494293,8933,2016-10-26,50.36164383561644,M,Black,6393934,2016-11-22,felony,drug,1,1,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,11131916,2012-10-09,misdemeanor,violent,1,0,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,6497796,2016-10-25,felony,violent,1,1,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,6598087,2016-09-25,misdemeanor,property,1,0,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,6501856,2016-10-24,felony,violent,1,1,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,6598088,2016-09-25,misdemeanor,violent,1,0,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,11354553,2012-07-25,misdemeanor,violent,1,0,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,6872176,2016-07-06,felony,violent,1,1,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,11190498,2012-09-18,misdemeanor,drug,1,0,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,3454243,2018-07-11,misdemeanor,drug,1,0,0
6872176,9003,2016-07-06,33.45753424657534,F,Black,3596136,2018-06-14,misdemeanor,drug,1,0,0
3076203,9044,2018-09-04,21.186301369863013,M,Black,4738877,2017-11-28,felony,drug,0,1,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,5001766,2017-10-16,felony,drug,0,1,4
3076203,9044,2018-09-04,21.186301369863013,M,Black,11977323,2017-11-28,felony,drug,0,1,4
